Unnamed: 0,avg_price
189,3.290578545422445e-05
190,3.290613143366814e-05
191,2.742246059119384e-05
192,2.742246059119384e-05
193,1.6452265838069474e-05
194,2.1937245672856204e-05
195,2.1937245672856204e-05
196,2.4680720459966995e-05
197,3.290613143366814e-05
198,3.016405898358077e-05
199,1.9194007312395223e-05
200,2.4678845496482512e-05
201,5.484303616820139e-05
202,7.404078678805526e-05
203,9.323637314894744e-05
204,5.758681669674458e-05
205,4.9359873401488224e-05
206,5.21033485857288e-05
207,6.032823556674347e-05
208,6.855368624131499e-05
209,7.403888832097315e-05
210,6.855517380961574e-05
211,6.581170031021604e-05
212,6.581170031021604e-05
213,6.306996146588622e-05
214,6.307021881757427e-05
215,6.306996146588622e-05
216,6.306996146588622e-05
217,6.581170031021604e-05
218,6.581170031021604e-05
219,6.855368624131499e-05
220,6.581170031021604e-05
221,6.581170031021604e-05
222,5.758681669674458e-05
223,5.484507616863904e-05
224,6.032823556674347e-05
225,5.758681669674429e-05
226,4.661800538979232e-05
227,4.661800538979232e-05
228,4.936147981869653e-05
229,5.758650966760091e-05
230,4.936147981869653e-05
231,4.936147981869653e-05
232,4.3876278561737016e-05
233,5.758681669674429e-05
234,4.936147981869653e-05
235,4.936147981869653e-05
236,4.936147981869653e-05
237,5.21033485857288e-05
238,5.758650966760091e-05
239,5.758681669674429e-05
240,5.484507616863904e-05
241,5.4845089113834056e-05
242,5.21033485857288e-05
243,4.936147981869653e-05
244,4.936147981869653e-05
245,5.21033485857288e-05
246,4.936147981869653e-05
247,5.484507616863904e-05
248,6.032823556674347e-05
249,7.403890126616683e-05
250,7.678251479691187e-05
251,9.0492897690256e-05
252,8.500945937028004e-05
253,8.226586654613419e-05
254,0.0001069470095371
255,0.0001151739566939
256,0.0001151735815532
257,0.0001124322148788
258,0.0001151735815532
259,0.0001179153216519
260,0.0001151739566939
261,0.0001069484130865
262,0.0001151739566939
263,0.0001151739566939
264,0.0001151735815532
265,0.0001151739566939
266,0.0001069470095371
267,0.000109690486009
268,0.0001069484130865
269,0.000109690486009
270,0.0001042049382071
271,0.0001014615826108
272,0.0001014615826108
273,0.0001069470095371
274,0.0001096887384069
275,0.0001206572393919
276,0.0001371108293028
277,0.0001590483462155
278,0.0001782437769769
279,0.0001727582497822
280,0.0001672747992982
281,0.0001508229837996
282,0.0001480795095178
283,0.0001535631437598
284,0.0001453378335394
285,0.0001480800852818
286,0.000137110842248
287,0.0001425960432107
288,0.0001343676528209
289,0.0001343676528209
290,0.0001096901403647
291,0.0001096887384069
292,0.0001096901403647
293,0.0001179153216519
294,0.0001261407083119
295,0.0001206570617507
296,0.0001206570488055
297,0.0001233987889042
298,0.0001233987889042
299,0.0001233987889042
300,0.0001151739566939
301,0.0001179153216519
302,0.0001261407083119
303,0.0001261407083119
304,0.0001371108922653
305,0.0001453377828369
306,0.0001316259248335
307,0.000139852568929
308,0.0001343676528209
309,0.0001316259248335
310,0.0001233987889042
311,0.0001179156985089
312,0.0001179153216519
313,0.0001151739566939
314,0.0001151739566939
315,0.0001151739566939
316,0.0001179153216519
317,0.0001343691524108
318,0.000139852568929
319,0.0001371108922653
320,0.000139852568929
321,0.0001398543667755
322,0.0001425960432107
323,0.0001371108922653
324,0.0001316259248335
325,0.0001261407083119
326,0.0001233987889042
327,0.0001179153216519
328,0.0001261407083119
329,0.0001288824492445
330,0.0001288824492445
331,0.000134369165356
332,0.0001288824492445
333,0.0001288824492445
334,0.0001316259248335
335,0.000134369165356
336,0.0001425960432107
337,0.0001425960432107
338,0.0001398543667755
339,0.0001398543667755
340,0.0001398543667755
341,0.000139852568929
342,0.0001398543667755
343,0.0001453377698917
344,0.0001425960432107
345,0.0001453377828369
346,0.0001508218144862
347,0.0001480795095178
348,0.0001288839908124
349,0.000112432227824
350,8.775293498073802e-05
351,7.67806285054402e-05
352,6.306996146588622e-05
353,4.3876278561737016e-05
354,4.661800538979232e-05
355,4.38748052217738e-05
356,4.3876278561737016e-05
357,4.3876278561737016e-05
358,4.113453878849044e-05
359,4.3876278561737016e-05
360,3.290578545422445e-05
361,3.016404603839093e-05
362,3.5647859743946336e-05
363,1.9194007312395223e-05
364,1.0967061177884195e-05
365,8.225142658373704e-06
366,2.7416747132216986e-06
367,2.7416747132216986e-06
368,0.0
369,1.919537961000502e-05
370,4.936147981869653e-05
371,3.564925952548919e-05
372,3.290578545422445e-05
373,1.3710345259607683e-05
374,8.225142658373704e-06
375,1.6453778355596105e-05
376,1.9195518486822658e-05
377,3.290613143366814e-05
378,3.290578545422445e-05
379,2.4680720459966995e-05
380,2.4680720459966995e-05
381,1.6452278783269003e-05
382,1.6452278783269003e-05
383,1.6452278783269003e-05
384,1.6452278783269003e-05
385,2.4678845496482512e-05
386,1.9195518486822658e-05
387,1.9195518486822658e-05
388,3.564925952548919e-05
389,3.5647859743946336e-05
390,4.9359873401488224e-05
391,4.661800538979232e-05
392,3.564925952548919e-05
393,3.016404603839093e-05
394,2.742231956774725e-05
395,2.742231956774725e-05
396,2.742231956774725e-05
397,3.016405898358077e-05
398,2.742246059119384e-05
399,2.4680720459966995e-05
400,2.4680720459966995e-05
401,1.6452278783269003e-05
402,1.9195518486822658e-05
403,2.4678845496482512e-05
404,3.290578545422445e-05
405,3.016404603839093e-05
406,3.5647859743946336e-05
407,3.290578545422445e-05
408,3.016405898358077e-05
409,2.4680720459966995e-05
410,3.016405898358077e-05
411,3.5647859743946336e-05
412,2.742246059119384e-05
413,2.742231956774725e-05
414,2.193899327393345e-05
415,2.4680720459966995e-05
416,1.6453778355596105e-05
417,1.096861775962924e-05
418,8.225142658373704e-06
419,8.225142658373704e-06
420,8.225142658373704e-06
421,1.0967061177884195e-05
422,8.225142658373704e-06
423,8.225142658373704e-06
424,8.225142658373704e-06
425,2.1937106080648992e-05
426,3.290613143366814e-05
427,3.290578545422445e-05
428,3.290578545422445e-05
429,3.5647859743946336e-05
430,4.113453878849044e-05
431,4.1133076911495504e-05
432,4.9359873401488224e-05
433,4.38748052217738e-05
434,3.290578545422445e-05
435,4.3876278561737016e-05
436,3.564925952548919e-05
437,3.290613143366814e-05
438,3.564925952548919e-05
439,3.839133565601845e-05
440,3.839133565601845e-05
441,3.564925952548919e-05
442,3.290578545422445e-05
443,3.290578545422445e-05
444,4.661813287338297e-05
445,4.1133076911495504e-05
446,4.1133076911495504e-05
447,3.838960099942339e-05
448,4.1133076911495504e-05
449,4.3876278561737016e-05
450,4.1133076911495504e-05
451,4.1133076911495504e-05
452,4.3876278561737016e-05
453,4.1133076911495504e-05
454,4.936147981869653e-05
455,4.38748052217738e-05
456,4.1133076911495504e-05
457,4.1133076911495504e-05
458,4.661800538979232e-05
459,4.1133076911495504e-05
460,4.1133076911495504e-05
461,4.1133076911495504e-05
462,4.1133076911495504e-05
463,3.5647859743946336e-05
464,3.5647859743946336e-05
465,3.290578545422445e-05
466,2.4680720459966995e-05
467,3.290578545422445e-05
468,3.5647859743946336e-05
469,3.016404603839093e-05
470,3.5647859743946336e-05
471,4.3876278561737016e-05
472,5.21033485857288e-05
473,4.936147981869653e-05
474,6.581369365795886e-05
475,6.306996146588622e-05
476,5.758681669674429e-05
477,4.9359745163038905e-05
478,3.290578545422445e-05
479,3.290578545422445e-05
480,1.9194007312395223e-05
481,2.1937245672856204e-05
482,3.839106435958622e-05
